"","Incarcerated population by race/ethnicity in Census 2010- total","...2","ID","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","rate_per_100","...27","...28","...29","...30","...31","...32","...33","...34","...35"
"35","0400000US40","40","oklahoma","40,562","24,054","10,540","3,407","170","36","1,504","851","6,229","19,761",NA,"3,751,351","2,706,845","277,644","321,687","65,076","4,369","154,409","221,321","332,007","2,575,381",NA,1081,"889","3,796","1,059","261","824","974","385","1,876","767"
"36","0400000US41","41","oregon","22,203","17,407","2,211","700","342","61","1,115","367","3,641","15,206",NA,"3,831,074","3,204,614","69,206","53,203","141,263","13,404","204,625","144,759","450,062","3,005,848",NA,580,"543","3,195","1,316","242","455","545","254","809","506"
"37","0400000US42","42","pennsylvania","97,820","41,426","45,030","277","531","23","9,615","918","14,399","37,810",NA,"12,702,379","10,406,288","1,377,689","26,843","349,088","3,653","300,983","237,835","719,660","10,094,652",NA,770,"398","3,269","1,032","152","630","3,195","386","2,001","375"
"38","0400000US44","44","rhode island","3,783","1,985","1,134","27","46","0","560","31","910","1,685",NA,"1,052,567","856,869","60,189","6,058","30,457","554","63,653","34,787","130,655","803,685",NA,359,"232","1,884","446","151","0","880","89","696","210"
"39","0400000US45","45","south carolina","41,649","14,237","25,763","206","90","18","1,072","263","2,841","12,823",NA,"4,625,364","3,060,000","1,290,684","19,524","59,051","2,706","113,464","79,935","235,682","2,962,740",NA,900,"465","1,996","1,055","152","665","945","329","1,205","433"
"40","0400000US46","46","south dakota","6,327","3,708","476","1,852","33","7","128","123","382","3,500",NA,"814,180","699,392","10,207","71,817","7,610","394","7,477","17,283","22,119","689,502",NA,777,"530","4,663","2,579","434","1,777","1,712","712","1,727","508"
"41","0400000US47","47","tennessee","46,957","25,054","20,746","133","103","5","627","289","1,725","24,122",NA,"6,346,105","4,921,948","1,057,315","19,994","91,242","3,642","141,955","110,009","290,059","4,800,782",NA,740,"509","1,962","665","113","137","442","263","595","502"
"42","0400000US48","48","texas","267,405","149,359","85,057","1,000","1,665","70","28,362","1,892","91,935","87,569",NA,"25,145,561","17,701,552","2,979,598","170,972","964,596","21,656","2,628,186","679,001","9,460,921","11,397,345",NA,1063,"844","2,855","585","173","323","1,079","279","972","768"
"43","0400000US49","49","utah","12,666","9,969","794","490","81","128","938","266","2,982","8,155",NA,"2,763,885","2,379,560","29,287","32,927","55,285","24,554","166,754","75,518","358,340","2,221,719",NA,458,"419","2,711","1,488","147","521","563","352","832","367"
"44","0400000US50","50","vermont","1,592","1,348","139","29","5","0","13","58","82","1,301",NA,"625,741","596,292","6,277","2,207","7,947","160","2,105","10,753","9,208","590,223",NA,254,"226","2,214","1,314","63","0","618","539","891","220"
"45","0400000US51","51","virginia","65,240","26,216","37,518","191","285","48","663","319","3,043","24,151",NA,"8,001,024","5,486,852","1,551,399","29,225","439,890","5,980","254,278","233,400","631,825","5,186,450",NA,815,"478","2,418","654","65","803","261","137","482","466"
"46","0400000US53","53","washington","31,960","22,698","5,693","1,482","522","250","700","615","4,543","19,113",NA,"6,724,540","5,196,362","240,042","103,869","481,067","40,475","349,799","312,926","755,790","4,876,804",NA,475,"437","2,372","1,427","109","618","200","197","601","392"
"47","0400000US54","54","west virginia","16,591","11,221","4,646","97","47","14","389","177","1,021","10,731",NA,"1,852,994","1,739,988","63,124","3,787","12,406","428","6,119","27,142","22,268","1,726,256",NA,895,"645","7,360","2,561","379","3,271","6,357","652","4,585","622"
"48","0400000US55","55","wisconsin","38,102","21,195","14,518","1,439","195","88","422","245","2,090","19,712",NA,"5,686,986","4,902,067","359,148","54,526","129,234","1,827","135,867","104,317","336,056","4,738,411",NA,670,"432","4,042","2,639","151","4,817","311","235","622","416"
"49","0400000US56","56","wyoming","3,576","2,916","146","296","9","6","121","82","532","2,575",NA,"563,626","511,279","4,748","13,336","4,426","427","17,049","12,361","50,231","483,874",NA,634,"570","3,075","2,220","203","1,405","710","663","1,059","532"
